Host,Lectureship,Host_gender,Host_caucasian,Host_HURM,Speaker_gender,Speaker_caucasian,Speaker_HURM
Host Faculty,NA,man,y,n,man,y,n
Host Faculty,NA,man,y,n,man,y,n
Host Faculty,Brockman,man,y,n,man,y,n
Postdoc,Postdoc-invited,man,y,n,man,n,y
Host Faculty,NA,woman,n,n,man,y,n
Host Faculty,NA,man,y,n,man,y,n
Host Faculty,Neidhardt/Freter,man,y,n,man,n,y
Host Faculty,Neidhardt/Freter,man,y,n,man,y,n
Host Faculty,NA,man,y,n,man,y,n
Host Faculty,Heritage,woman,n,n,woman,y,n
Student,Student-invited,woman,y,n,man,n,y
Host Faculty,NA,man,y,n,man,n,n
Host Faculty,NA,man,n,n,woman,y,n
Host Faculty,NA,man,n,n,man,y,n
Host Faculty,NA,woman,y,n,woman,y,n
Host Faculty,MMMP,man,y,n,man,n,n
Host Faculty,NA,woman,y,n,man,y,n
Host Faculty,NA,woman,y,n,woman,n,n
Host Faculty,NA,woman,y,n,man,y,n
Host Faculty,NA,man,y,n,man,y,n
Host Faculty,NA,man,y,n,man,n,y
Host Faculty,NA,woman,y,n,man,n,n
Host Faculty,NA,woman,y,n,man,y,n
Host Faculty,NA,woman,n,n,man,n,y
Postdoc,Postdoc-invited,woman,y,n,man,y,n
Host Faculty,NA,woman,y,n,woman,y,n
Host Faculty,NA,man,y,n,man,y,n
Host Faculty,NA,woman,n,n,woman,y,n
Host Faculty,NA,woman,y,n,woman,y,n
Host Faculty,NA,woman,y,n,man,n,n
Host Faculty,NA,man,y,n,man,y,n
Host Faculty,NA,woman,y,n,man,n,y
Host Faculty,NA,woman,y,n,woman,y,n
Host Faculty,Brockman,man,y,n,woman,y,n
Host Faculty,NA,man,y,n,woman,y,n
Postdoc,Postdoc-invited,woman,y,n,man,y,n
Host Faculty,NA,woman,y,n,man,y,n
Host Faculty,Neidhardt/Freter,man,y,n,man,y,n
Host Faculty,Neidhardt/Freter,man,y,n,woman,y,n
Host Faculty,NA,man,y,n,woman,y,n
Host Faculty,Willison,man,y,n,man,y,n
